x,y,diameter_pixel,imagePath,realDiameter,sample
1155,39,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
636,585,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
836,471,304,example/input\Nikon DS-Ri2\Sample 1\092.tif,446.14029938362216,Sample 1
382,286,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
1185,478,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
315,33,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
1196,738,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514,Sample 1
802,9,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514,Sample 1
164,14,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
866,592,528,example/input\Nikon DS-Ri2\Sample 1\093.tif,774.8752568241858,Sample 1
798,484,496,example/input\Nikon DS-Ri2\Sample 1\093.tif,727.9131200469625,Sample 1
490,158,432,example/input\Nikon DS-Ri2\Sample 1\093.tif,633.9888464925157,Sample 1
220,428,424,example/input\Nikon DS-Ri2\Sample 1\093.tif,622.2483122982098,Sample 1
408,658,432,example/input\Nikon DS-Ri2\Sample 1\093.tif,633.9888464925157,Sample 1
670,694,416,example/input\Nikon DS-Ri2\Sample 1\093.tif,610.507778103904,Sample 1
714,156,432,example/input\Nikon DS-Ri2\Sample 1\093.tif,633.9888464925157,Sample 1
654,58,488,example/input\Nikon DS-Ri2\Sample 1\093.tif,716.1725858526567,Sample 1
219,198,344,example/input\Nikon DS-Ri2\Sample 1\093.tif,504.8429703551514,Sample 1
147,644,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
693,261,368,example/input\Nikon DS-Ri2\Sample 1\093.tif,540.064572938069,Sample 1
580,194,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
340,222,360,example/input\Nikon DS-Ri2\Sample 1\093.tif,528.3240387437631,Sample 1
486,357,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
472,728,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397,Sample 1
260,316,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397,Sample 1
958,218,352,example/input\Nikon DS-Ri2\Sample 1\093.tif,516.5835045494572,Sample 1
840,384,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
585,363,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
1080,448,344,example/input\Nikon DS-Ri2\Sample 1\093.tif,504.8429703551514,Sample 1
262,62,352,example/input\Nikon DS-Ri2\Sample 1\093.tif,516.5835045494572,Sample 1
260,693,344,example/input\Nikon DS-Ri2\Sample 1\093.tif,504.8429703551514,Sample 1
411,519,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
794,286,352,example/input\Nikon DS-Ri2\Sample 1\093.tif,516.5835045494572,Sample 1
810,202,344,example/input\Nikon DS-Ri2\Sample 1\093.tif,504.8429703551514,Sample 1
84,358,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
130,178,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
170,728,344,example/input\Nikon DS-Ri2\Sample 1\093.tif,504.8429703551514,Sample 1
506,556,320,example/input\Nikon DS-Ri2\Sample 1\093.tif,469.6213677722338,Sample 1
567,636,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
1118,760,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397,Sample 1
909,316,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
825,756,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
116,276,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397,Sample 1
94,466,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397,Sample 1
172,96,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397,Sample 1
285,144,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
1170,86,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397,Sample 1
344,370,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397,Sample 1
573,504,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397,Sample 1
735,606,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
976,118,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
381,116,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
730,360,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
687,430,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397,Sample 1
800,117,320,example/input\Nikon DS-Ri2\Sample 1\093.tif,469.6213677722338,Sample 1
656,578,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397,Sample 1
914,772,344,example/input\Nikon DS-Ri2\Sample 1\093.tif,504.8429703551514,Sample 1
483,273,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
242,566,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397,Sample 1
914,60,352,example/input\Nikon DS-Ri2\Sample 1\093.tif,516.5835045494572,Sample 1
536,28,424,example/input\Nikon DS-Ri2\Sample 1\093.tif,622.2483122982098,Sample 1
754,42,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
1016,34,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
452,69,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397,Sample 1
273,777,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.1024361608456,Sample 1
